num,test_name,is_consistent,blame,count,dof,mean_X,Sigma_X,probable_error,est_chunks,smallest_increment,recommended_resolution,upper_factory_limit,lower_factory_limit,usefulness,max_measurement_increment,min_measurement_increment,upper_natural_process_limit,lower_natural_process_limit,upper_range_limit
27,PER_BLE_RX_CH19,False,[X,mR,*Chunky],50,30.1,-0.05866696,0.01447395,0.00976268,0,0.066667,0.01,,,0,0.01952535,0.00195254,-0.0152451189231437,-0.102088801076856,0.053343731762918
28,PER_BLE_RX_CH39,False,[X,mR,*Chunky],50,30.1,-0.05600028,0.01688627,0.01138979,0,0.066667,0.01,,,0,0.02277958,0.00227796,-0.00534146541033429,-0.106659094589666,0.0622343537234043
29,SPC_ITERATION,False,[X,mR,*Chunky],32,19.2,17.5,1.34408602,0.90658602,4,1,1,,,0,1.81317204,0.1813172,21.5322580645161,13.4677419354839,4.95362903225806
30,THREAD_TX_POWER_CH11,False,[X,mR],50,30.1,15.305708,0.09169742,0.06184991,3379,0.0001,0.1,27,,0,0.12369982,0.01236998,15.5808002709509,15.0306157290491,0.337950854863222
31,THREAD_TX_POWER_CH19,False,[X,mR],50,30.1,14.174532,0.33127623,0.22344582,12209,0.0001,0.1,27,,0,0.44689164,0.04468916,15.1683607016934,13.1807032983066,1.2209185600304
32,THREAD_TX_POWER_CH25,False,[X,mR],50,30.1,15.297642,0.14233066,0.09600203,5245,0.0001,0.1,27,,0,0.19200405,0.01920041,15.7246339669996,14.8706500330004,0.524559631458967
33,THREAD_TX_TARGET_POWER_POWER_CH11,True,[SigmaX,*Chunky],50,30.1,17,0,0,0,9.22337203685478E+18,1,,,0,0,0,17,17,0
34,THREAD_TX_TARGET_POWER_POWER_CH19,True,[SigmaX,*Chunky],50,30.1,17,0,0,0,9.22337203685478E+18,1,,,0,0,0,17,17,0
35,THREAD_TX_TARGET_POWER_POWER_CH25,True,[SigmaX,*Chunky],50,30.1,17,0,0,0,9.22337203685478E+18,1,,,0,0,0,17,17,0
36,TOTAL_TEST_TIME,False,[X,mR],50,30.1,283.38076,9.31831669,6.28520461,34342,0.001,10,,,0,12.57040921,1.25704092,311.335710065133,255.425809934868,34.3426561550152
37,U_READ_ISN_MLB,False,[X,mR,*Chunky],50,30.1,246097840000013,0.03618469,0.02440657,0,2,0.01,,,0,0.04881314,0.00488131,246097840000013,246097840000013,0.133358662613982
38,WIFI_2412_CABLE_LOSS,True,[SigmaX,*Chunky],50,30.1,46.5,0,0,0,9.22337203685478E+18,1,,,0,0,0,46.5,46.5,0
39,WIFI_2437_CABLE_LOSS,False,[X,SigmaX,*Chunky],50,30.1,45.1,0,0,0,9.22337203685478E+18,1,,,0,0,0,45.1,45.1,0
40,WIFI_2462_CABLE_LOSS,False,[X,SigmaX,*Chunky],50,30.1,42.4,0,0,0,9.22337203685478E+18,1,,,0,0,0,42.4,42.4,0
41,WIFI_5180_CABLE_LOSS,True,[SigmaX,*Chunky],50,30.1,32.5,0,0,0,9.22337203685478E+18,1,,,0,0,0,32.5,32.5,0
42,WIFI_5500_CABLE_LOSS,False,[X,SigmaX,*Chunky],50,30.1,32.4,0,0,0,9.22337203685478E+18,1,,,0,0,0,32.4,32.4,0
43,WIFI_5825_CABLE_LOSS,True,[SigmaX,*Chunky],50,30.1,47.5,0,0,0,9.22337203685478E+18,1,,,0,0,0,47.5,47.5,0
44,WIFI_TX_EVM_A_54_CH100_BW20,False,[X,mR],50,30.1,-40.316896,1.42724888,0.96267937,1813,0.0029,1,,,0,1.92535874,0.19253587,-36.0351493651759,-44.5986426348241,5.26012574088146
45,WIFI_TX_EVM_A_54_CH165_BW20,False,[X,mR],50,30.1,-37.896444,1.21761471,0.82128112,11218,0.0004,1,,,0,1.64256224,0.16425622,-34.24359988363,-41.54928811637,4.48751899696049
46,WIFI_TX_EVM_A_54_CH36_BW20,False,[X,mR],50,30.1,-38.796054,1.55684614,1.05009272,4413,0.0013,1,,,0,2.10018545,0.21001854,-34.1255155718628,-43.4665924281372,5.73775645896657
